@type,name,amenity,addr:postcode,addr:suburb,@lat,@lon
node,Spice,fast_food,13353,Wedding,52.5416266,13.3492149
node,MR Ristorante,restaurant,10967,Kreuzberg,52.4912050,13.4119355
node,Horv�th,restaurant,10999,Kreuzberg,52.4963757,13.4208114
node,Maison Rahel,restaurant,10967,Kreuzberg,52.4904383,13.4104847
node,Speisemanufaktur Bistro,restaurant,12489,Adlershof,52.4314909,13.5369347
node,Osteria Doppio Passo,restaurant,12163,Steglitz,52.4629807,13.3191713
node,Syrtaki,restaurant,,,52.5485440,13.5469928
node,Easy Rider,fast_food,14129,,52.4332975,13.1897258
node,OLLA Grill & Orient Lounge,restaurant,10178,Mitte,52.5222705,13.3992261
node,HAPPA,restaurant,10997,Kreuzberg,52.4995755,13.4451877
node,Danto,restaurant,10627,Charlottenburg,52.5080331,13.3052653
node,Pastatrium,restaurant,10967,Kreuzberg,52.4910456,13.4106002
node,Habibi,fast_food,10967,Kreuzberg,52.4893485,13.4084053
node,Mother's Heart,restaurant,10967,Kreuzberg,52.4896243,13.4086209
node,Ristorante Don Giovanni,restaurant,10625,Charlottenburg,52.5121357,13.3110039
node,Yogi,restaurant,10967,,52.4923133,13.4138776
node,Rocco und seine Br�der,restaurant,10997,Kreuzberg,52.5009751,13.4308101
node,Long March Canteen,restaurant,10997,Kreuzberg,52.5029690,13.4309782
node,Sp�tzle-Club,fast_food,10117,Mitte,52.5106671,13.4023123
node,Trattoria Pizzeare,fast_food,12559,,52.4403785,13.6012260
node,Mangiare Berlin,restaurant,10823,Sch�neberg,52.4864820,13.3504514
node,Gasthaus Figl,restaurant,10967,Kreuzberg,52.4903191,13.4175617
node,Tasty,restaurant,,,52.5054030,13.3019159
node,Bejte Ethiopia,restaurant,10783,Sch�neberg,52.4993517,13.3570701
node,Peperoncino,restaurant,10967,Kreuzberg,52.4918249,13.4138554
node,Tra My,restaurant,10967,Kreuzberg,52.4911182,13.4165448
node,Medel,restaurant,10967,Kreuzberg,52.4909534,13.4133602
node,Fukagawa,restaurant,10967,Kreuzberg,52.4907883,13.4134032
node,D�ner Burger Haus,fast_food,10967,Neuk�lln,52.4887500,13.4082335
node,Kebab Kitchen,fast_food,10178,Mitte,52.5244815,13.4031679
node,D�ner Box,fast_food,12203,Lichterfelde,52.4436128,13.3159115
node,Curry Piraten,fast_food,,,52.5147405,13.4742624
node,Xinh Xinh,restaurant,10115,Mitte,52.5263080,13.3889346
node,Mama dut,restaurant,12161,Friedenau,52.4706435,13.3294191
node,Cassambalis,restaurant,10623,Charlottenburg,52.5035837,13.3240854
node,Due Fratelli,restaurant,10115,,52.5274482,13.3864664
node,Maselli Ristorante,restaurant,10961,Kreuzberg,52.4916792,13.3908912
node,Balkaymak Simit Evi,restaurant,10961,Kreuzberg,52.4924210,13.3884920
node,Fratelli La Bionda,restaurant,10961,Kreuzberg,52.4887419,13.3973435
node,Akimi Sushi & More,fast_food,,Kreuzberg,52.4862649,13.3942449
node,Call a Pizza,fast_food,10965,Kreuzberg,52.4883752,13.3946678
node,Mindful Living,restaurant,,,52.4873841,13.4216577
node,Pico Tapas Bar,restaurant,10999,,52.4977677,13.4131153
node,Sch�neburger,fast_food,10781,Sch�neberg,52.4967445,13.3537890
node,Landhaus Schupke,restaurant,13437,Wittenau,52.5914519,13.3265724
node,Eisb�rchen,fast_food,,,52.4845443,13.3015895
node,Nam Kio,restaurant,10711,Halensee,52.4971532,13.2924327
node,Pink Elephant,restaurant,10247,Friedrichshain,52.5149217,13.4736316
node,D�ner Box,fast_food,10179,,52.5110599,13.4167593
node,Dervish,restaurant,10245,Friedrichshain,52.5106324,13.4572895
node,Mustafa's Can Gem�se Kebap,fast_food,,,52.5226768,13.4011539
node,Aposto,restaurant,10178,,52.5226711,13.3999181
node,Weihenstephaner,restaurant,10178,Mitte,52.5229726,13.4017099
node,Garbatella,restaurant,14169,Zehlendorf,52.4377056,13.2572691
node,Peking Perle,restaurant,,,52.5428840,13.1978866
node,Yoko Sushi,restaurant,10245,Friedrichshain,52.5099459,13.4642275
node,La Perla,restaurant,13593,Wilhelmstadt,52.5195084,13.1711462
node,Toscana,restaurant,12347,Britz,52.4401719,13.4163622
node,Maxes Kohlenhof,restaurant,12557,K�penick,52.4332157,13.5956657
node,Thai-Snack,fast_food,,,52.5136078,13.4737183
node,La Mamma,restaurant,10961,Kreuzberg,52.4894641,13.3964430
node,Vegang,restaurant,10435,,52.5387397,13.4087221
node,Culaccino,restaurant,10719,Wilmersdorf,52.4985234,13.3266362
node,Subway,fast_food,10439,,52.5494566,13.4146805
node,Jasmin Bistro,restaurant,12049,Neuk�lln,52.4788168,13.4254636
node,Il Pomodorino,restaurant,12209,Lichterfelde,52.4167016,13.3386462
node,DaVinci,restaurant,10117,Mitte,52.5201096,13.3912976
node,Alte Pumpe,restaurant,10785,Tiergarten,52.5051973,13.3581381
node,Berlin Burger International,fast_food,12047,Neuk�lln,52.4864595,13.4308570
node,MC Curry,fast_food,,,52.4359841,13.3467415
node,Knorke,fast_food,,,52.4302786,13.3338363
node,Kings D�ner,fast_food,,,52.4370680,13.3448426
node,Asia Imbiss,fast_food,,,52.4368693,13.3449523
node,D�neria,fast_food,12247,,52.4354068,13.3439270
node,Piroschka,restaurant,12207,Lichterfelde,52.4287566,13.3252608
node,Vietnam Village,restaurant,10435,Prenzlauer Berg,52.5385467,13.4102784
node,otto,restaurant,10435,Prenzlauer Berg,52.5381702,13.4102300
node,Cello Spiel & Sport,restaurant,13405,Reinickendorf,52.5675748,13.3141964
node,Il Campo,restaurant,12207,Lichterfelde,52.4156660,13.3038181
node,W66,restaurant,10117,Mitte,52.5099830,13.3865330
node,Best Bistro,fast_food,,,52.5007079,13.4421693
node,Midye 47,restaurant,10967,Kreuzberg,52.4884444,13.4245994
node,Imren Grill,fast_food,10967,Kreuzberg,52.4904942,13.4229424
node,Osmanl? Saray Mutfa??,restaurant,10967,Neuk�lln,52.4907214,13.4238161
node,Mayflower,restaurant,10437,Prenzlauer Berg,52.5510364,13.4183928
node,Burger Vision,fast_food,10827,Sch�neberg,52.4909430,13.3611393
node,Luisen-St�bchen,fast_food,12683,Biesdorf,52.5212651,13.5479271
node,Nuova Mirabella,restaurant,12103,Tempelhof,52.4654911,13.3838958
node,Habibi,fast_food,10823,Sch�neberg,52.4881383,13.3543709
node,Choice,restaurant,10823,Sch�neberg,52.4880723,13.3544133
node,Bahnhofs-Wirtschaft,restaurant,12207,Lichterfelde,52.4296115,13.3275432
node,My Asia K�che,fast_food,,,52.4277184,13.3252409
node,Bistro Osdorfer St�bchen,restaurant,12207,Lichterfelde,52.4131601,13.3201147
node,Il Giardino,restaurant,,,52.4167232,13.3150006
node,Fischfabrik,restaurant,10435,Prenzlauer Berg,52.5400588,13.4169984
node,Falafel Daye,fast_food,,,52.5400764,13.4168790
node,EK Sushibar,restaurant,,,52.4595346,13.3235410
node,Daheim,restaurant,,,52.5530597,13.4237919
node,D�ner Karwendel,fast_food,,,52.4354254,13.3126401
node,Schlosspark Grill,restaurant,12207,Lichterfelde,52.4350703,13.3133983
node,La Laura / Pizza Daily,restaurant,,,52.4181857,13.4360379
node,Gon 80,restaurant,10965,Kreuzberg,52.4858135,13.3751041
node,XL D�ner Sophie,fast_food,14059,Charlottenburg,52.5118772,13.2968903
node,Chenab,restaurant,14059,Charlottenburg,52.5131335,13.2913105
node,NEM,fast_food,,,52.4974306,13.4312012
node,Das Strandhaus,restaurant,,,52.5435111,13.2743078
node,Kiosk im Saatwinkel,fast_food,,,52.5595996,13.2414943
node,Kochstudio Cookeria,restaurant,14050,Westend,52.5137412,13.2775919
node,Nhat Long,restaurant,10115,Mitte,52.5276822,13.3908729
node,Noodle Village,restaurant,10625,Charlottenburg,52.5062945,13.3169199
node,Keyser Soze,restaurant,10117,Mitte,52.5262915,13.3934069
node,Curry Station,fast_food,14169,Zehlendorf,52.4313704,13.2593178
node,Burger King,fast_food,13055,,52.5346282,13.4961129
node,Mehas Food Berlin,fast_food,13055,,52.5345506,13.4959280
node,Long Food,fast_food,13055,,52.5349736,13.4967825
node,BSV 92 Harri Wuttke Sportcasino,restaurant,,,52.4829894,13.3034133
node,Allee-Bistro,fast_food,,,52.5350052,13.4970493
node,Masala,restaurant,12459,Obersch�neweide,52.4598635,13.5295453
node,Parmera Pasta,restaurant,,,52.5124330,13.3897926
node,Borkowski's Curry & Chicken,fast_food,14169,,52.4370527,13.2619893
node,Haydar Baba,fast_food,,,52.4175956,13.4379305
node,MASTAN,restaurant,10961,Kreuzberg,52.4903470,13.4019817
node,Bistro Femo,fast_food,13409,Reinickendorf,52.5716527,13.3797172
node,D�ner Eck MC,fast_food,,,52.4107946,13.2619457
node,El Bandito,restaurant,14165,Zehlendorf,52.4170515,13.2503826
node,Sushi-Club,restaurant,12163,Steglitz,52.4570611,13.3225328
node,Thung Thai,restaurant,12163,,52.4570377,13.3223648
node,Brasserie am Gendarmenmarkt,restaurant,10117,Mitte,52.5134229,13.3940394
